train_loss,val_loss,train_acc,val_acc
0.3826971294871275,0.37013822475997277,0.8292572463768116,0.837251356238698
0.2734536096669625,0.31231866318860496,0.8903985507246377,0.860759493670886
0.20750589560771335,0.28885715073530327,0.9184782608695652,0.8770343580470162
0.16944528619448343,0.3177611992490658,0.936141304347826,0.8860759493670886
0.14172435078796916,0.32660438166173417,0.9461050724637682,0.8987341772151899
0.12091000834682389,0.3404969433983569,0.9547101449275363,0.8824593128390597
0.10683404054303748,0.29075058631827994,0.9601449275362319,0.91500904159132
0.08546802121808456,0.3796667955263398,0.96875,0.8969258589511754
0.05772658225159039,0.34282104838066896,0.9850543478260869,0.8878842676311031
0.06617130101759634,0.3248416562219425,0.9719202898550725,0.9095840867992766
