train_loss,val_loss,train_acc,val_acc
0.5619907541074016,0.6093248763931132,0.6955503512880562,0.6635514018691588
0.48601725327605666,0.596603604956208,0.7681498829039812,0.6822429906542056
0.44322745512464284,0.5929618065602311,0.7927400468384075,0.6985981308411214
0.394801067105501,0.7105126002124537,0.8266978922716628,0.6892523364485981
0.382746517274363,0.6413122593799484,0.8337236533957846,0.7313084112149533
0.3143532146335486,0.7576801008153184,0.8559718969555035,0.6939252336448598
0.28988221657639085,0.6932056440371219,0.8682669789227166,0.7126168224299065
0.25999405679993104,0.7057166801434811,0.8905152224824356,0.6962616822429906
0.23636998818964813,0.8484499448927764,0.9010538641686182,0.7102803738317757
0.18728320832763398,0.8391587801068743,0.9285714285714286,0.7102803738317757
