train_loss,val_loss,train_acc,val_acc
0.3722460787501225,0.3478631252170208,0.8389937106918238,0.8442211055276382
0.27195713365102964,0.3585457389478508,0.8880503144654087,0.8492462311557789
0.25774296144769376,0.3578061861808176,0.8939203354297693,0.8576214405360134
0.21835228653323976,0.3339826837681246,0.9048218029350105,0.8710217755443886
0.19056619105848877,0.40390353342845814,0.930398322851153,0.864321608040201
0.15989205083757077,0.33501489556564557,0.940041928721174,0.8777219430485762
0.12156934917472943,0.38944756904838473,0.9551362683438155,0.8542713567839196
0.13227530130550297,0.3998777607215609,0.9463312368972746,0.8659966499162479
0.13206641176086803,0.39781851184724437,0.9526205450733752,0.8710217755443886
0.09138093095280589,0.4429641681500216,0.9681341719077567,0.8760469011725294
