train_loss,val_loss,train_acc,val_acc
1.1678611553008782,1.2774918791859649,0.4835873388042204,0.4232558139534884
1.0695166185341016,1.3096138216728388,0.5211019929660023,0.40930232558139534
0.9638837594080363,1.2720062982204348,0.6019929660023446,0.44651162790697674
0.8870319625557098,1.29905543160993,0.6418522860492379,0.41860465116279066
0.8147690616207414,1.4056575104247693,0.6846424384525205,0.40232558139534885
0.7063136830628967,1.3958073604938597,0.7233294255568581,0.41860465116279066
0.6217574587600592,1.5933644366818804,0.7649472450175849,0.3930232558139535
0.493111556258319,1.6234151707139126,0.8159437280187573,0.413953488372093
0.45191281880192014,1.6655836765156236,0.8323563892145369,0.413953488372093
0.3851992246134759,1.7671615822370663,0.8634232121922626,0.43023255813953487
